courseId,title,proficiency_level,duration,total_chapters,total_users_enrolled,total_users_completed,completion_rate,average_days_to_complete,median_completion_time,total_users_with_certificate,last_update_date,certificate_rate
1,Java Programming Essentials,Beginner,2,5,138,138,0.0,610.4492753623189,122.0,1329,2024-10-30,9.630434782608695
2,Mastering Java Swing for Desktop Applications,Beginner,10,9,75,75,0.25,606.9333333333333,345.0,717,2024-10-23,9.56
3,SQL for Data Management,Advanced,10,10,91,91,0.3033333333333333,23.274725274725277,9.0,895,2024-10-26,9.835164835164836
4,C Programming for Beginners,Beginner,7,15,61,61,0.2033333333333333,273.21311475409834,32.0,621,2024-10-20,10.180327868852459
5,Advanced C# Techniques,Advanced,5,7,108,108,0.36,451.3518518518519,147.5,980,2024-10-26,9.074074074074074
6,C++ for Game Development,Intermediate,5,17,47,47,0.1566666666666666,31.46808510638298,8.0,490,2024-10-23,10.425531914893616
7,Go: A Comprehensive Guide,Advanced,3,16,49,49,0.1633333333333333,80.14285714285714,11.5,448,2024-10-23,9.142857142857142
8,Building Web Applications with Django,Beginner,8,15,61,61,0.2033333333333333,10.36065573770492,4.0,582,2024-12-11,9.540983606557377
9,HTML & CSS: The Complete Guide,Intermediate,9,5,142,142,0.4733333333333333,578.8450704225352,125.0,1347,2024-10-30,9.485915492957746
10,JavaScript Fundamentals,Intermediate,2,13,64,64,0.2133333333333333,17.359375,14.0,598,2024-10-12,9.34375
11,Node.js for Scalable Network Applications,Advanced,10,13,50,50,0.1666666666666666,167.68,30.5,442,2024-10-28,8.84
12,Next.js: Server-Side Rendering Made Easy,Intermediate,3,8,103,103,0.3433333333333333,257.13592233009706,34.0,968,2024-10-28,9.398058252427184
13,TypeScript for Large Applications,Intermediate,3,9,86,86,0.2866666666666667,538.2325581395348,179.0,839,2024-10-26,9.755813953488373
14,Python for Data Analysis,Beginner,10,20,38,38,0.1266666666666666,227.73684210526315,42.0,362,2024-10-30,9.526315789473685
15,DevOps Fundamentals: Continuous Integration & Delivery,Intermediate,6,14,68,68,0.2266666666666666,217.33823529411765,32.0,666,2024-10-24,9.794117647058824
16,Machine Learning with Python,Intermediate,8,7,103,103,0.3433333333333333,594.1941747572815,248.0,957,2024-10-28,9.29126213592233
17,Data Analysis Techniques for Business Insights,Beginner,8,9,92,92,0.3066666666666666,607.7717391304348,215.0,919,2024-10-29,9.98913043478261
18,DBT: Transforming Data in the Warehouse,Beginner,10,11,76,76,0.2533333333333333,16.57894736842105,8.0,732,2024-10-27,9.631578947368421
19,Snowflake Essentials: Data Warehousing,Intermediate,3,15,62,62,0.2066666666666666,132.3709677419355,14.5,578,2024-10-26,9.32258064516129
20,Azure Cloud Fundamentals,Beginner,4,15,56,56,0.1866666666666666,325.875,80.0,508,2024-10-21,9.071428571428571
21,Power BI for Data Visualization,Advanced,4,16,45,45,0.15,250.7555555555556,17.5,399,2024-10-26,8.866666666666667
22,Data Structures and Algorithms in Java,Beginner,4,14,56,56,0.1866666666666666,177.125,29.0,538,2024-10-21,9.607142857142858
23,Cloud Security: Best Practices for IT,Beginner,6,9,84,84,0.28,51.98809523809524,14.5,800,2024-10-29,9.523809523809524
24,HR Analytics: Leveraging Data for HR Decisions,Beginner,8,6,119,119,0.3966666666666666,58.04201680672269,14.0,1132,2024-10-21,9.512605042016807
25,IT Project Management Fundamentals,Advanced,3,15,76,76,0.2533333333333333,96.94736842105264,12.0,706,2024-10-25,9.289473684210526
26,Agile Methodologies for HR and IT,Advanced,6,14,52,52,0.1733333333333333,34.94230769230769,6.0,522,2024-10-23,10.038461538461538
27,Cybersecurity Essentials for IT Professionals,Advanced,4,10,52,52,0.1733333333333333,289.5576923076923,33.0,499,2024-10-26,9.596153846153847
28,Effective Communication in HR,Advanced,9,6,115,115,0.3833333333333333,35.530434782608694,7.0,1110,2024-10-26,9.652173913043478
29,Talent Management Strategies in the Digital Age,Beginner,4,18,48,48,0.16,187.0625,27.0,441,2024-10-25,9.1875
30,Building a Diverse Workplace Culture,Intermediate,8,18,40,40,0.1333333333333333,325.95,40.0,387,2024-10-24,9.675
